date,cost_usd,total_tokens,input,cache_read,cache_create,output,top_model,top_model_cost_usd
2026-01-21,0.0395,158005,591,137369,20027,18,claude-haiku-4-5,0.0395
2026-01-30,0.7687,2039983,2781,1781441,255564,197,claude-haiku-4-5,0.6050
2026-02-03,0.8191,1412361,1851,1252917,157545,48,claude-opus-4-5,0.4707
2026-02-10,0.9655,2652037,6667,2410441,234640,289,claude-opus-4-6,0.5128
2026-02-19,0.1508,301269,136,275762,25344,27,claude-opus-4-6,0.1114
2026-02-20,0.8691,1131319,228,1009399,118159,3533,claude-opus-4-6,0.6707
2026-03-02,0.2190,548269,54,474958,64957,8300,claude-haiku-4-5,0.2190
2026-03-03,0.9682,388860,11,323303,55477,10069,claude-opus-4-6,0.9682
2026-03-09,1.5309,2512258,169,2354149,135722,22218,claude-opus-4-6,1.2330
2026-03-10,15.9549,17101402,19972,16398899,589025,93506,claude-opus-4-6,15.9549
2026-03-11,14.1088,10883662,17230,9623828,1193029,49575,claude-opus-4-6,14.1088
2026-04-10,1.7236,2098274,75,2042588,45887,9724,claude-opus-4-6,1.7236
2026-04-11,19.3716,28284484,362,27883478,305867,94777,claude-opus-4-6,19.3716
2026-04-13,19.5265,25764470,3689,25040989,631827,87965,claude-opus-4-6,19.2506
2026-04-14,21.4138,22253076,3887,21333321,767909,147959,claude-opus-4-6,21.2984
2026-04-15,21.4488,32274074,434,31811363,338651,123626,claude-opus-4-6,21.2773
2026-04-16,8.8463,13511342,249,13320521,143998,46574,claude-opus-4-6,8.7815
2026-04-17,50.1794,75864331,698,74948306,678761,236566,claude-opus-4-7,48.6725
2026-04-19,64.8980,86430141,9972,84572964,1564791,282414,claude-opus-4-7,64.8980
2026-04-20,155.8767,217095739,3323,212875594,3733219,483603,claude-opus-4-7,155.8767
2026-04-21,91.6963,119079525,20338,116280937,2400142,378108,claude-opus-4-7,91.6963
2026-04-22,68.1975,90169984,645,87900273,2141005,128061,claude-opus-4-7,68.1975
2026-04-23,8.5329,6549891,17,6008483,533744,7647,claude-opus-4-7,8.5329
2026-04-29,170.8470,241111178,1339,237160073,3098924,850842,claude-opus-4-7,170.8470
2026-04-30,64.4676,62389493,865,59534160,2427155,427313,claude-opus-4-7,64.4266
2026-05-02,9.7537,10075813,149,9761507,198783,115374,claude-opus-4-7,9.7537
2026-05-04,37.6877,47072467,3006,45989829,820871,258761,claude-opus-4-7,37.6877
2026-05-05,47.6913,51977999,983,50108131,1420230,448655,claude-opus-4-7,47.1988
2026-05-06,69.5674,68313692,23722,65215410,2518979,555581,claude-opus-4-7,69.4105
2026-05-07,50.2647,62275203,899,60787915,1152900,333489,claude-opus-4-7,50.2647
2026-05-08,104.9961,142298654,4822,139545911,2176650,571271,claude-opus-4-7,104.9961
2026-05-09,12.8032,11593480,42,10899506,666337,27595,claude-opus-4-7,12.8032
2026-05-10,6.0907,6358132,128,6139929,162121,55954,claude-opus-4-7,6.0907
2026-05-11,46.5906,54571244,19628,53033333,1154445,363838,claude-opus-4-7,46.5210
2026-05-12,199.1086,271493714,15178,266576734,3691286,1210516,claude-opus-4-7,198.8448
2026-05-13,37.9602,48694964,15671,47591207,852142,235944,claude-opus-4-7,37.9602
2026-05-14,44.0107,48383876,4035,46843675,1152579,383587,claude-opus-4-7,43.9143
2026-05-15,98.1388,118474798,7766,115455198,2308858,702976,claude-opus-4-7,98.1388
2026-05-16,108.6044,129126161,4633,125152011,3490427,479090,claude-opus-4-7,108.4437
2026-05-17,222.8949,265434175,37996,257407975,6816455,1171749,claude-opus-4-7,222.8114
2026-05-18,72.6745,77703122,13504,74730618,2478028,480972,claude-opus-4-7,72.4581
2026-05-19,13.7303,6751039,83,5743121,955835,52000,claude-opus-4-7,13.7303
2026-05-20,249.1016,352672298,4496,346802269,4730688,1134845,claude-opus-4-7,249.1016
2026-05-21,145.0883,185317752,40015,181059901,3138043,1079793,claude-opus-4-7,144.7138
2026-05-22,139.3865,181220272,79409,177097217,3137634,906012,claude-opus-4-7,139.2970
2026-05-23,61.2173,80376816,266,78441787,1758267,176496,claude-opus-4-7,61.2173
2026-05-24,10.1942,8217918,18,7591133,618039,8728,claude-opus-4-7,10.1942
2026-05-25,118.5653,127274695,9298,122362986,4179547,722864,claude-opus-4-7,118.1752
2026-05-26,386.5147,484893598,71744,471998002,10945259,1878593,claude-opus-4-7,386.1973
2026-05-27,175.3239,210145413,27152,204058428,4984720,1075113,claude-opus-4-7,174.6967
2026-05-28,266.7076,343435076,9628,335800668,5751581,1873199,claude-opus-4-7,265.5523
2026-05-29,246.0821,328663756,50392,321988946,5201935,1422483,claude-opus-4-7,185.2331
2026-05-30,264.0385,185412704,158751,169073547,14264528,1915878,claude-opus-4-8,261.8878
2026-06-01,320.2538,382999134,296899,371497619,9524927,1679689,claude-opus-4-8,314.3394
2026-06-02,224.1979,268285888,217644,259921926,6447587,1698731,claude-opus-4-8,213.1157
2026-06-03,149.1447,176359143,158741,169971820,5231175,997407,claude-opus-4-8,146.4255
2026-06-05,115.0455,143569779,65994,139176350,3746971,580464,claude-opus-4-8,113.7074
2026-06-06,113.0081,125085148,124963,120168638,3859189,932358,claude-opus-4-8,111.1874
2026-06-07,57.5357,75736323,48267,73977867,1293419,416770,claude-opus-4-8,56.9234
2026-06-08,329.0253,451529219,269821,443345232,5855571,2058595,claude-opus-4-8,328.2682
2026-06-09,350.7813,440154405,473501,427993223,9683064,2004617,claude-opus-4-8,349.4108
2026-06-10,524.5655,408763644,305719,396857328,9999399,1601198,claude-fable-5,392.2967
2026-06-11,326.7169,198426979,325795,191461303,5516419,1123462,claude-fable-5,312.2928
2026-06-12,229.9469,163463672,269473,156923962,5152282,1117955,claude-fable-5,164.2138
2026-06-13,271.3756,337380365,580287,326572110,8368558,1859410,claude-opus-4-8,270.4874
2026-06-14,41.5033,47660845,53206,46222943,1099438,285258,claude-opus-4-8,41.5033
2026-06-15,254.8997,276634257,727382,263777802,10259268,1869805,claude-opus-4-8,254.5417
2026-06-16,544.5066,619522000,1325622,593667615,20900010,3628753,claude-opus-4-8,543.4730
2026-06-17,383.0817,457196245,645367,441999604,12243064,2308210,claude-opus-4-8,380.3445
2026-06-18,167.4937,204003013,170076,198278310,4370902,1183725,claude-opus-4-8,163.2756
2026-06-19,199.0378,219165284,385295,200549838,15841145,2389006,claude-opus-4-8,145.4709
2026-06-20,243.6516,248834065,373285,237505245,9784930,1170605,claude-opus-4-8,241.2293
2026-06-21,1.5891,1352221,8896,1278293,48025,17007,claude-opus-4-8,1.5891
2026-06-22,84.4040,93150290,257383,89614546,2569596,708765,claude-opus-4-8,83.1229
2026-06-23,79.4678,83096579,290099,79355834,2966419,484227,claude-opus-4-8,77.4651
2026-06-24,11.1842,9218483,20126,8325959,760038,112360,claude-opus-4-8,8.5236
2026-06-25,74.6059,83409301,186432,79909771,2703046,610052,claude-opus-4-8,71.0871
2026-06-26,41.6982,42047523,77842,39899027,1658989,411665,claude-opus-4-8,38.7046
2026-06-27,225.5377,238152970,436663,228285791,7808220,1622296,claude-opus-4-8,224.0202
